,7
best_result,-1.031628131082499
mean_scores_g,"[0.05061472329697381, -1.0315120977684842, -1.0315823308673657, -1.0316056932096558, -1.0316220891206456, -1.0316220891206456, -1.0316220891206456, -1.0316220891206456, -1.0316220891206456, -1.0316270901742257, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499, -1.031628131082499]"
SR,0.8
CR,0.45
gamma,0.1
opposition,False
generations,30
m,100
problem,camel
