,4
best_result,-186.73079810949864
mean_scores_g,"[-176.96392902248732, -186.72752228242487, -186.72752228242487, -186.72752228242487, -186.72928870251704, -186.72928870251704, -186.72928870251704, -186.72928870251704, -186.72928870251704, -186.72928870251704, -186.72969537968027, -186.72969537968027, -186.72969537968027, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864, -186.73079810949864]"
SR,0.8
CR,0.8
gamma,0.1
opposition,True
generations,30
m,100
problem,shubert
